transaction_id,sender_account,receiver_account,amount,currency,timestamp
TXN001,ACC012,ACC008,895968,INR,2026-08-17T19:39:00Z
TXN002,ACC011,ACC008,787242,INR,2026-04-25T10:47:00Z
TXN003,ACC010,ACC008,894147,INR,2026-03-05T13:49:00Z
TXN004,ACC010,ACC007,643968,INR,2026-04-23T07:45:00Z
TXN005,ACC008,ACC006,667619,INR,2026-08-17T22:05:00Z
TXN006,ACC007,ACC009,863829,INR,2026-02-09T11:04:00Z
TXN007,ACC008,ACC011,744278,INR,2026-04-17T06:13:00Z
TXN008,ACC009,ACC007,801827,INR,2026-04-08T20:00:00Z
TXN009,ACC005,ACC008,719687,INR,2026-05-18T22:51:00Z
TXN010,ACC004,ACC008,615040,INR,2026-03-11T18:31:00Z
TXN011,ACC008,ACC013,856065,INR,2026-07-24T17:46:00Z
TXN012,ACC008,ACC003,826241,INR,2026-05-17T05:58:00Z
TXN013,ACC001,ACC009,58790,INR,2026-05-25T05:05:00Z
TXN014,ACC001,ACC013,48089,INR,2026-02-04T19:11:00Z
TXN015,ACC001,ACC005,44844,INR,2026-03-25T11:29:00Z
TXN016,ACC001,ACC006,42118,INR,2026-07-14T17:17:00Z
TXN017,ACC001,ACC015,74520,INR,2026-04-18T13:53:00Z
TXN018,ACC002,ACC008,6270,INR,2026-07-11T22:03:00Z
TXN019,ACC006,ACC004,47607,INR,2026-01-18T06:48:00Z
TXN020,ACC001,ACC004,18065,INR,2026-08-03T05:39:00Z
TXN021,ACC003,ACC004,13272,INR,2026-05-02T08:36:00Z
TXN022,ACC004,ACC008,50840,INR,2026-03-07T16:10:00Z
TXN023,ACC010,ACC015,54016,INR,2026-07-03T08:49:00Z
TXN024,ACC014,ACC003,25384,INR,2026-01-28T23:01:00Z
TXN025,ACC015,ACC005,42735,INR,2026-06-23T17:25:00Z
TXN026,ACC012,ACC004,9980,INR,2026-06-01T12:06:00Z
TXN027,ACC012,ACC013,24764,INR,2026-08-06T08:50:00Z
TXN028,ACC010,ACC013,7691,INR,2026-03-30T22:27:00Z
TXN029,ACC011,ACC006,9519,INR,2026-05-10T15:00:00Z
TXN030,ACC014,ACC007,58892,INR,2026-05-06T08:27:00Z
TXN031,ACC006,ACC011,59310,INR,2026-04-28T09:27:00Z
TXN032,ACC003,ACC012,39193,INR,2026-06-16T13:39:00Z
TXN033,ACC013,ACC009,55766,INR,2026-05-04T19:27:00Z
TXN034,ACC014,ACC012,43828,INR,2026-03-10T15:54:00Z
TXN035,ACC004,ACC014,10679,INR,2026-03-13T19:15:00Z
TXN036,ACC013,ACC008,42345,INR,2026-06-06T17:21:00Z
TXN037,ACC001,ACC008,26300,INR,2026-02-16T20:13:00Z
TXN038,ACC006,ACC013,21931,INR,2026-03-29T13:56:00Z
TXN039,ACC010,ACC012,23105,INR,2026-05-23T05:33:00Z
TXN040,ACC004,ACC002,20817,INR,2026-07-04T18:31:00Z
TXN041,ACC009,ACC013,20749,INR,2026-06-26T20:41:00Z
TXN042,ACC012,ACC008,34371,INR,2026-07-22T05:05:00Z
TXN043,ACC005,ACC004,31502,INR,2026-06-27T12:19:00Z
TXN044,ACC011,ACC010,29184,INR,2026-05-02T22:33:00Z
TXN045,ACC006,ACC007,53885,INR,2026-05-21T15:22:00Z
